Processes,Time
1000,0.09
2000,0.36
3000,0.83
4000,1.45
5000,2.30
6000,3.37
7000,5.86
8000,7.49
9000,9.09
10000,10.98
11000,15.38
12000,14.91
13000,16.03
14000,19.59
15000,21.85
16000,25.39
17000,28.00
18000,31.77
19000,35.34
20000,38.75
21000,43.01
22000,47.11
23000,55.20
24000,55.38
25000,61.12
26000,66.14
27000,72.50
28000,76.29
29000,88.39
30000,89.47
31000,95.56
32000,97.75
33000,108.76
34000,112.97
35000,123.70
36000,126.80
37000,136.19
38000,144.72
39000,154.16
40000,157.94
41000,181.72
